Source,Target,Weight
Bilbao Athletic,SD Amorebieta,16
Bilbao Athletic,Sestao River ,16
Bilbao B,Athletic,22
Bilbao Youth,Danok Bat Yth.,12
Birmingham,Blackpool,11
Birmingham,Walsall,10
Birmingham,West Brom,12
Blackburn,Birmingham,11
Blackburn,Blackpool,10
Blackburn,Derby,11
Blackburn,Ipswich,9
Blackburn,Leeds,11
Blackburn,Leicester,11
Blackburn,Rochdale,11
Blackburn,Stockport,9
Blackpool,Birmingham,9
Blackpool,Blackburn,10
Blackpool,Bradford,9
Blackpool,Bury,16
Blackpool,Fleetwood,12
Blackpool,Middlesbrough,9
Blackpool,Morecambe FC,9
Blackpool,Oldham Athletic,10
Blackpool,Plymouth,10
Blackpool,Port Vale,9
Blackpool,Rochdale,15
Blackpool,Tranmere,11
Blyth Spartans,Gateshead,9
Boa Esporte,Operário VG,9
Boa Esporte,São Bernardo,10
Boavista,Beira-Mar,9
Boavista,Benfica,11
Boavista,Desportivo Aves,17
Boavista,Duque de Caxias,16
Boavista,FC Porto,10
Boavista,Feirense,9
Boavista,Flamengo,10
Boavista,Gondomar,17
Boavista,Leixões,10
Boavista,Vasco da Gama,10
Boavista CJ,Pasteleira S15,11
Boavista Y19,Boavista,60
Boca Juniors,Banfield,10
Boca Juniors,Belgrano,9
Boca Juniors,CA Talleres,15
Boca Juniors,Chacarita Jrs.,12
Boca Juniors,Colon,10
Boca Juniors,Estudiantes LP,12
Boca Juniors,Huracán,9
Boca Juniors,Lanús,11
Boca Juniors,Racing Club,15
Boca Juniors,Rosario Central,13
Boca Juniors,Tigre,16
Bodrum FK,Antalyaspor,9
Bodø/Glimt,Rosenborg,18
Bodø/Glimt Yth.,Bodø/Glimt,24
Bohemians 1905,Dukla Prague,10
Bohemians 1905,Mlada Boleslav,10
Bohemians 1905,Slavia Prague,14
Bohemians 1905,Sparta Prague,14
Bohemians 1905,Sparta Prague B,9
Bohemians 1905,Viktoria Plzen,9
Bohemians Praha,Semice,10
Bohs Academy,Bohemians,18
Boin MS,Boin HS,10
Bologna,Ascoli,12
Bologna,Atalanta BC,13
Bologna,Brescia,10
Bologna,Cesena,11
Bologna,Genoa,10
Bologna,Hellas Verona,16
Bologna,Inter,17
Bologna,Juventus,19
Bologna,Lecce,11
Bologna,Montreal,9
Bologna,Napoli,11
Bologna,Torino,10
Bolton,Cardiff,11
Bolton,Hull City,11
Bolton,Oldham Athletic,9
Boluspor,Göztepe,9
Boluspor,Sanliurfaspor ,13
Boreham Wood,Dag & Red FC,9
Botafogo,Atlético-GO,10
Botafogo,Atlético-MG,9
Botafogo,Boavista,9
Botafogo,Corinthians,13
Botafogo,Cruzeiro,16
Botafogo,EC Bahia,11
Botafogo,Figueirense FC,11
Botafogo,Fluminense,9
Botafogo,Grêmio,10
Botafogo,Internacional,13
Botafogo,RWDM,16
Botafogo,São Paulo,14
Botafogo,Tombense,10
Botafogo-SP,CRB,11
Botafogo-SP,Chapecoense,12
Botafogo-SP,Corinthians,9
Botafogo-SP,Coritiba FC,19
Botafogo-SP,Guarani,10
Botafogo-SP,Santos,9
Botafogo-SP,São Caetano,9
Bournemouth,Dorchester,9
Bournemouth,Portsmouth,15
Bournemouth,Southampton,17
Bournemouth,Weymouth FC,9
Bradford,Huddersfield,11
Bradford,Middlesbrough,10
Bradford,Notts County,9
Braga B,Moreirense ,13
Braga B,SC Braga,46
Bragantino,Capivariano,12
Bragantino,Corinthians,23
Bragantino,Palmeiras,9
Bragantino B,Red Bull,9
Brasil Pelotas,Santo André,9
Brasiliense-DF,Ceilândia,12
Brasiliense-DF,Samambaia,30
Brentford,AFC Wimbledon,12
Brentford,Crawley Town,10
Brentford,Gillingham,9
Brentford,Ipswich,9
Brentford,Millwall,10
Brentford,Reading,12
Brentford,Wycombe,13
Brentford B,Brentford,17
Brescia,AS Roma,10
Brescia,Bari,9
Brescia,Chievo Verona,10
Brescia,Genoa,17
Brescia,Hellas Verona,13
Brescia,Inter,9
Brescia,Lumezzane,9
Brescia,Pescara,9
Brescia,Sampdoria,16
Brescia,Sassuolo,9
Brescia,Ternana,11
Brest B,Stade Brestois,24
Brighton,Charlton,9
Brighton,Wigan,9
Brindisi,Nardò,9
Bristol City,Cardiff,9
Bristol City,Cheltenham,17
Bristol City,Forest Green,9
Bristol City,Plymouth,10
Bristol City,Wolves,10
Bristol City,Yeovil Town,15
Bristol Rovers,Bath City,11
Bristol Rovers,Cheltenham,10
Bristol Rovers,Forest Green,11
Bristol Rovers,Gloucester,11
Bristol Rovers,Shrewsbury,15
Bristol Rovers,Yeovil Town,11
Brommapojkarna,Djurgården,14
Brora Rangers,Inverness CT,10
Bryne FK Yth.,Bryne,11
Bröndby IF,Lyngby BK,9
Bucaspor Yth,Altinordu Yth,11
Bucaspor Yth,Bucaspor,20
Bugsas Spor,Ankaraspor,9
Bugsas Spor,Keciörengücü,13
Bugsas Spor,Osmanlispor FK,13
Burnley,Barnsley,9
Bursaspor,Bursa Nilüfer ,9
Bursaspor,Galatasaray,12
Bursaspor,Genclerbirligi,10
Bursaspor,Merinosspor,26
Burton Albion,Derby,10
Burton Albion,Leicester,9
Burton Albion,Mansfield Town,11
Bury,Blackpool,11
Bury,Macclesfield,9
Bury,Morecambe FC,9
Bury,Oldham Athletic,10
Bury,Plymouth,9
Bury,Rotherham,10
C. Budejovice,Slavia Prague,15
C. Budejovice,Sparta Prague B,10
C. Budejovice,Viktoria Plzen,15
C. Budejovice B,C. Budejovice,13
C. Dardanel Yth,Dardanelspor,16
C. Rizespor,Adana Demirspor,17
C. Rizespor,Besiktas,16
C. Rizespor,Boluspor,14
C. Rizespor,Büyüksehir Bld,11
C. Rizespor,Galatasaray,11
C. Rizespor,Konyaspor,10
C. Rizespor,Pazarspor ,14
C. Rizespor,Samsunspor,10
CA Fénix,Peñarol,10
CA Osasuna,Athletic,13
CA Osasuna,Atlético Madrid,9
CA Osasuna,CD Leganés,10
CA Osasuna,CD Numancia,10
CA Osasuna,SD Huesca,15
CA Talleres,Argentinos Jrs.,9
CA Talleres,Boca Juniors,16
CA Talleres,Ferro,9
CA Talleres,Godoy Cruz,9
CA Talleres,Lanús,9
CA Talleres,Platense,11
CA Talleres,River Plate,9
CC Yatai,Changchun Res.,27
CCM Academy,Central Coast,14
CD Basconia,Bilbao Athletic,147
CD Basconia,Bilbao B,34
CD Basconia,Gernika,11
CD Castellón B,Castellón,13
CD Cruz Azul,Chivas,13
CD Cruz Azul,Club Tijuana,9
CD Cruz Azul,Cruz Azul Hid.,9
CD Cruz Azul,Jaguares,10
CD Cruz Azul,Monarcas Morelia,12
CD Cruz Azul,Necaxa,11
CD Cruz Azul,Pachuca,12
CD Cruz Azul,Puebla FC,14
CD Cruz Azul,Toluca,12
CD Leganés,AD Alcorcón,10
CD Leganés,Athletic,9
CD Leganés,CA Osasuna,10
CD Leganés,FC Cartagena,9
CD Leganés,Granada CF,9
CD Leganés,SD Huesca,11
CD Leganés B,CD Leganés,22
CD Lugo,Cádiz CF,10
CD Mirandés,Alavés,9
CD Mirandés,Athletic,11
CD Mirandés,Real Sociedad,9
CD Numancia,CA Osasuna,12
CD Numancia B,CD Numancia,23
CD Tapatío,Chivas,9
CD Tenerife,Dep. La Coruña,9
CD Tenerife B,CD Tenerife,35
CE Sabadell B,CE Sabadell ,16
CF Cracks,SH Shenhua Res.,11
CF Damm Youth,Barça Youth,9
CF Damm Youth,Espanyol Youth,9
CF Estrela ,FC Porto,14
CF Estrela ,SC Braga,9
CF Estrela ,Sporting CP,9
CF La Nucia B,CF La Nucía,9
CF Peralada,Girona,10
CISC Academy,Charlotte Ind.,16
CLB Academy,Columbus 2,16
CRB,Atlético-GO,9
CRB,Atlético-MG,11
CRB,Corinthians-AL,9
