Source,Target,Weight
Fermana,Montegiorgio,11
Fermana,Pro Vercelli,20
Fermana Youth,Fermana,13
Ferro,Defensa,9
Ferroviária,Atlético-PR,17
Ferroviária,Botafogo-SP,9
Ferroviária,Mirassol-SP,10
Ferroviário,Ceará SC,9
Fethiyespor,Pendikspor ,11
Fethiyespor Yth,Fethiyespor,12
Feyenoord,ADO Den Haag,9
Feyenoord,De Graafschap,10
Feyenoord,Excelsior,45
Feyenoord,FC Dordrecht,14
Feyenoord,Heerenveen,9
Feyenoord,NAC Breda,13
Feyenoord,NEC Nijmegen,10
Feyenoord,RKC Waalwijk,13
Feyenoord,Twente FC,10
Figueirense FC,Atlético-MG,11
Figueirense FC,Atlético-PR,10
Figueirense FC,Corinthians,9
Figueirense FC,EC Vitória,9
Figueirense FC,Flamengo,9
Figueirense FC,Grêmio,12
Figueirense FC,Internacional,16
Figueirense FC,Londrina-PR,9
Figueirense FC,Náutico,9
Figueirense FC,Palmeiras,9
Figueirense FC,Ponte Preta,9
Figueirense FC,Tombense,43
Fiorentina,AC Milan,12
Fiorentina,Arezzo,9
Fiorentina,Bari,9
Fiorentina,Cagliari,11
Fiorentina,FC Empoli,16
Fiorentina,Genoa,10
Fiorentina,Hellas Verona,13
Fiorentina,Juventus,17
Fiorentina,Napoli,12
Fiorentina,Parma,9
Fiorentina,Salernitana,10
Fiorentina,Sampdoria,12
Fiorentina,Spezia Calcio,9
Fiorentina,Ternana,12
Fiorenzuola,Pisa,11
Fiorenzuola G.,Fiorenzuola,17
Fire Academy,Chicago,13
Flamengo,Atlético-PR,11
Flamengo,Boavista,11
Flamengo,Corinthians,9
Flamengo,Coritiba FC,15
Flamengo,Cruzeiro,22
Flamengo,Duque de Caxias,9
Flamengo,EC Bahia,17
Flamengo,EC Vitória,9
Flamengo,Figueirense FC,11
Flamengo,Fluminense,10
Flamengo,Grêmio,19
Flamengo,Internacional,9
Flamengo,Palmeiras,10
Flamengo,Santos,14
Flamengo,São Paulo,11
Flamengo B,Flamengo,24
Flamengo-SP,Corinthians B,9
Fleetwood,Blackpool,9
Fleetwood,Fylde,10
Fleetwood,Salford,9
Fleetwood,Stockport,12
Fleetwood,Wrexham,9
Fluminense,Atlético-GO,11
Fluminense,Atlético-MG,10
Fluminense,Atlético-PR,12
Fluminense,Botafogo-SP,12
Fluminense,Ceará SC,9
Fluminense,Corinthians,9
Fluminense,Coritiba FC,13
Fluminense,Cruzeiro,10
Fluminense,Desp. Brasil,12
Fluminense,EC Bahia,13
Fluminense,EC Vitória,9
Fluminense,Flamengo,13
Fluminense,Goiás,14
Fluminense,Grêmio,13
Fluminense,Internacional,9
Fluminense,Juventude,14
Fluminense,Náutico,12
Fluminense,Ponte Preta,10
Fluminense,Santos,12
Fluminense,São Paulo,17
Fluminense,Tombense,12
Fløy,Start,12
Foggia,Benevento,11
Foggia,Cosenza,9
Foggia,Novara,12
Foggia,Salernitana,11
Foggia,Taranto,10
Fondi,Parma,9
Forest,Aston Villa,12
Forest,Barnsley,9
Forest,Cardiff,9
Forest,Crystal Palace,10
Forest,Lincoln City,13
Forest,Mansfield Town,10
Forest,Middlesbrough,10
Forest,Newcastle,14
Forest,Norwich,9
Forest,Notts County,13
Forest,Olympiacos,13
Forest,QPR,9
Forest,Rotherham,9
Forest,Watford,11
Forest Green,Bristol Rovers,11
Forest Green,Cheltenham,9
Forest Green,Gloucester,10
Forest Green,Torquay,11
Forfar Athletic,Aberdeen FC,10
Forlì,Cesena,18
Fortaleza,Atlético-MG,11
Fortaleza,Atlético-PR,9
Fortaleza,Botafogo,9
Fortaleza,Ceará SC,9
Fortaleza,Coritiba FC,12
Fortaleza,Internacional,9
Fortaleza,Juventude,9
Fortaleza,Tombense,13
Fortaleza,Vila Nova FC,9
Fotbal Trinec,Banik Ostrava,9
Francavilla Y.,V. Francavilla,10
Freamunde,Chaves,9
Fredrikstad Yth,Fredrikstad,15
Frosinone,Atalanta BC,11
Frosinone,Genoa,15
Frosinone,Pescara,12
Frosinone,Sassuolo,13
Frydek-Mistek,1.SK Prostejov,11
Frydek-Mistek,Banik Ostrava,11
Frydek-Mistek,Banik Ostrava B,15
Fulham,Barnsley,9
Fulham,Birmingham,9
Fulham,Chelsea,10
Fulham,QPR,10
Fulham,Tottenham,9
Füchse Yth.,Hertha BSC Yth.,11
G. Bordeaux,Angers SCO,10
G. Bordeaux B,G. Bordeaux,87
G.Birligi Yth,Hacettepe Yth,22
G.Osmanpasa Yth,Gaziosmanpasa,22
GAIS,Ljungskile SK,10
GAK Youth,Sturm Graz Yth,10
GB Asasspor,Genclerbirligi,10
GB Oftasspor,Genclerbirligi,10
GBS Academy,AS Trencin,9
GD Tourizense,Coimbra,15
GIF Sundsvall,AIK,10
GKS Katowice,Cracovia,9
GKS Katowice,Górnik Zabrze,13
GKS Katowice,Lech Poznan,9
GKS Katowice,Polonia Bytom,10
GKS Katowice,Rozwój Katowice,9
GKS Katowice,Ruch Chorzow,12
GKS Tychy,Ruch Chorzow,10
GO Audax,Audax-RJ,20
GO Audax,Oeste,16
GS Kallithea,AO Egaleo,9
GS Kallithea,Panionios,9
GSI Pontivy,St-Co Locminé,10
GZ City Res.,GZ R&F,10
GZ Evergrande,GuaZ FC Res.,24
GZ R&F,GZ City Res.,14
Gainsborough,Doncaster,9
Galatasaray,Antalyaspor,12
Galatasaray,Bursaspor,14
Galatasaray,C. Rizespor,15
Galatasaray,Eyüpspor,12
Galatasaray,Gaziantepspor,11
Galatasaray,Kayserispor,10
Gallos Tijuana,Celaya,14
Gamba Osaka,Vissel Kobe,9
Gamba Osaka,Yokohama FC,9
Gangwon FC,Seongnam FC,9
Gaskispor,Gaziantep BB,20
Gateshead,Blyth Spartans,13
Gateshead,Spennymoor Town,11
Gaziantep BB,Gaskispor,11
Gaziantep BB,Gaziantepspor,31
Gaziantepspor,Besiktas,13
Gaziantepspor,Fenerbahce,9
Gaziantepspor,Galatasaray,10
Gaziantepspor,Gaziantep BB,25
Gaziantepspor,Trabzonspor,11
Genclerbirligi,Antalyaspor,17
Genclerbirligi,Besiktas,11
Genclerbirligi,Boluspor,10
Genclerbirligi,Bursaspor,9
Genclerbirligi,Elazigspor ,11
Genclerbirligi,Fenerbahce,11
Genclerbirligi,GB Oftasspor,10
Genclerbirligi,Hacettepe,96
Genclerbirligi,Hacettepe 1945 ,11
Genclerbirligi,Kasimpasa,9
Genclerbirligi,Samsunspor,9
Genclerbirligi,Trabzonspor,9
Genoa,AC Milan,32
Genoa,AC Siena,15
Genoa,AS Roma,16
Genoa,Ascoli,10
Genoa,Atalanta BC,15
Genoa,Avellino,10
Genoa,Bari,19
Genoa,Benevento,10
Genoa,Bologna,9
Genoa,Brescia,17
Genoa,Cesena,17
Genoa,Chievo Verona,25
Genoa,Como,9
Genoa,Cremonese,15
Genoa,FC Lugano,13
Genoa,Fiorentina,15
Genoa,Frosinone,17
Genoa,Hellas Verona,19
Genoa,Inter,23
Genoa,Juventus,26
Genoa,Lazio,13
Genoa,Lecce,9
Genoa,Padova,9
Genoa,Parma,14
Genoa,Pescara,10
Genoa,Reggiana,11
Genoa,Reggina,13
Genoa,Salernitana,14
Genoa,Sassuolo,18
Genoa,Spezia Calcio,11
Genoa,Torino,12
Genoa,Vicenza,14
Genêts Anglet,Bayonne,11
Gernika,Arenas Club,11
Getafe,Albacete,10
Getafe,Real Madrid,10
Getafe,Sevilla FC,10
Getafe,Valencia,11
Getafe CF B,Getafe,13
Giana Giovanili,Giana Erminio,13
Gil Vicente,Boavista,10
Gil Vicente,FC Porto,9
Gil Vicente,Leixões,9
Gil Vicente,Paços Ferreira,10
Gil Vicente,SC Braga,20
Gil Vicente,Vilaverdense,11
Gillingham,Charlton,11
Gillingham,Dag & Red FC,12
Gillingham,QPR,13
Gillingham,Stevenage,9
Gimcheon Sangmu,FC Seoul,9
Gimcheon Sangmu,Jeonbuk Hyundai,11
Gimcheon Sangmu,Pohang Steelers,10
Gimcheon Sangmu,Suwon Bluewings,10
Gimnasia,Boca Juniors,10
Gimnasia,Racing Club,11
Giresunspor,Boluspor,14
Giresunspor,Pazarspor ,9
Girona,Man City,18
Girona FC B,Girona,19
Giulianova,Santegidiese,9
Gloucester,Bristol Rovers,9
Go Ahead Eagles,AZ Alkmaar,10
Godoy Cruz,Argentinos Jrs.,12
Godoy Cruz,Arsenal Sarandí,9
Godoy Cruz,Defensa,18
Godoy Cruz,Independiente,9
Godoy Cruz,Lanús,9
Godoy Cruz,Newell's,9
Godoy Cruz,Racing Club,9
Godset Yth. ,Strømsgodset,21
Goiás,Aparecidense,25
Goiás,Atlético-MG,10
Goiás,Botafogo,9
Goiás,Corinthians,9
Goiás,Coritiba FC,12
Goiás,Cruzeiro,11
Goiás,EC Vitória,10
Goiás,Fluminense,11
Goiás,Internacional,15
Goiás,Mirassol-SP,9
Goiás,Náutico,11
Goiás,Palmeiras,12
Goiás,Ponte Preta,11
Goiás,Sport Recife,11
Goiás,São Paulo,15
Goiás,Vila Nova FC,10
Goiás B,Aparecidense,11
Goiás B,Goiás,39
Gondomar,Boavista,17
Gondomar,Trofense,10
Gondomar B,Gondomar,27
Gondomar Sub-15,Gondomar Sub-17,25
Gondomar Yth,Gondomar Sub-15,18
Goverla,Dynamo-2 Kyiv,12
Granada CF,CD Leganés,9
Granada CF,CD Lugo,10
Granada CF,Cádiz CF,22
Granada CF,Real Valladolid,10
Granada CF,Watford,16
Grasshoppers,BSC Young Boys,14
Grasshoppers,FC Aarau,18
Grasshoppers,FC Basel,17
Grasshoppers,FC Lugano,14
Grasshoppers,FC Schaffhausen,23
Grasshoppers,FC Winterthur,13
Grasshoppers,FC Wohlen,14
Grasshoppers,Wolves,11
Grays Athletic,Dag & Red FC,12
Greenville,Carolina Elite,9
Grenoble B,Grenoble,26
Greuther Fürth,TSG Hoffenheim,11
Grimsby Town,Barnsley,11
Grimsby Town,Hull City,9
Grimsby Town,York City,12
Grodzisk,Pol. Warsaw,11
Grêmio,Avaí FC,16
Grêmio,Botafogo,15
Grêmio,Caxias-RS,12
Grêmio,Chapecoense,12
Grêmio,Corinthians,13
Grêmio,Coritiba FC,13
Grêmio,Criciúma EC,10
Grêmio,Cruzeiro,18
Grêmio,EC Bahia,12
Grêmio,EC Vitória,12
Grêmio,Figueirense FC,17
Grêmio,Flamengo,14
Grêmio,Fluminense,11
Grêmio,Juventude,17
Grêmio,Náutico,9
Grêmio,Palmeiras,17
Grêmio,Ponte Preta,11
Grêmio,Portuguesa,9
Grêmio,Santos,13
Grêmio,Sport Recife,16
Grêmio,São Paulo,15
Grêmio,Vasco da Gama,11
Grêmio B,Grêmio,68
GuaZ FC,WH Three Towns,10
GuaZ FC Res.,GZ Evergrande,16
GuaZ FC Res.,GuaZ FC,10
Guarani,Atlético-MG,11
Guarani,Corinthians,10
Guarani,Coritiba FC,16
Guarani,Cruzeiro,13
Guarani,EC Vitória,9
Guarani,Internacional,10
Guarani,Ituano,11
Guarani,Juventude,9
Guarani,Mirassol-SP,13
Guarani,Náutico,11
Guarani,Palmeiras,15
Guarani,Santos,14
Guarani,São Paulo,9
Guarani,Tombense,17
Guarani B,Guarani,23
Guaratinguetá,GO Audax,11
Guillermo Brown,Quilmes,10
Guimarães B,Vit. Guimarães,46
Guingamp,FC Lorient,13
Gwangju Sangmu,FC Seoul,9
Gwangju Sangmu,Suwon Bluewings,12
Gyeongnam FC,FC Seoul,9
Gyirmót FC,Mosonmagyaróvár,11
Génération Foot,FC Metz,12
Génération Foot,FC Metz B,11
Górnik Polkowice,Zaglebie Lubin,9
Górnik Zabrze,GKS Katowice,23
Górnik Zabrze,Nieciecza,9
Górnik Zabrze,Radzionkow,10
Górnik Zabrze,Wisla Plock,9
Göztepe,Adana Demirspor,9
Göztepe,Altay SK,9
Göztepe,Bandirmaspor,11
Göztepe,Sariyer,9
Göztepe Yth,Göztepe,17
HB CFFC,HB FC Res.,11
HIF Akademi,Helsingborgs IF,15
HJK Klubi 04,HJK Helsinki,14
HN Jianye,Henan FC Res.,9
HNK Gorica,Dinamo Zagreb,11
HNK Gorica,NK Kurilovec,10
HNK Rijeka,Dinamo Zagreb,17
HNK Rijeka,Hrv Dragovoljac,9
HNK Rijeka,NK Istra,12
HNK Rijeka,NK Pomorac,9
HNK Rijeka,Spezia Calcio,10
HNK Sibenik,Dinamo Zagreb,12
HNK Sibenik,Hajduk Split,19
Hacettepe,Ankara Adliye,10
Hacettepe,Genclerbirligi,121
Hacettepe 1945 ,Genclerbirligi,10
Hacettepe Yth,G.Birligi Yth,19
Hajduk Split,HNK Sibenik,18
Hajduk Split,NK Varazdin,9
Hajduk Split,NK Zadar ,9
Haladás,FC Ajka,11
Haladás,Gyirmót FC,9
Haladás,Lombard Pápa ,12
Haladás,MTK Budapest,10
Haladás,Mezőkövesd,15
Haladás,Soproni VSE,15
Haladás,Zalaegerszeg,17
Haladás MÁV,Soproni VSE,10
HamKam Yth.,HamKam,11
Hammarby,Hammarby TFF,22
Hammarby,IK Frej Täby,12
Hammarby TFF,Hammarby,34
Hannover 96,1.FC Köln,10
Hannover 96,Arm. Bielefeld,9
Hannover 96,TSG Hoffenheim,9
Hannover Yth.,Wolfsburg Yth.,11
Harrisburg City,Philadelphia,20
Hartberg Yth.,TSV Hartberg,11
Hartlepool,Sunderland,9
Haugesund,Vard,16
Haugesund Yth.,Haugesund,16
Havant & Water.,Portsmouth,9
Heart of Midl.,Cowdenbeath,9
Heart of Midl.,Dunfermline A.,11
Heart of Midl.,East Fife,9
Heart of Midl.,FBK Kaunas,11
Heart of Midl.,Falkirk,9
Heart of Midl.,Kilmarnock FC,11
Heart of Midl.,Livingston FC,15
Heart of Midl.,Motherwell FC,9
Heart of Midl.,Raith Rovers,17
Heart of Midl.,Rangers,10
Heart of Midl.,St. Johnstone,10
Hearts FC B,Heart of Midl.,10
Heerenveen,Ajax,10
Heerenveen,FC Emmen,9
Heerenveen,Feyenoord,12
Heerenveen,Go Ahead Eagles,9
Heerenveen,Heracles Almelo,11
Heerenveen,NEC Nijmegen,9
Hellas Verona,AS Roma,14
Hellas Verona,Atalanta BC,13
Hellas Verona,Bologna,13
Hellas Verona,Brescia,12
Hellas Verona,Cagliari,10
Hellas Verona,Chievo Verona,12
Hellas Verona,Cremonese,12
Hellas Verona,Fiorentina,13
Hellas Verona,Genoa,19
Hellas Verona,Juventus,15
Hellas Verona,Lazio,10
Hellas Verona,Mantova,16
Hellas Verona,Napoli,11
Hellas Verona,Perugia,11
Hellas Verona,Pescara,9
Hellas Verona,Salernitana,11
Hellas Verona,Sampdoria,16
Hellas Verona,Spezia Calcio,13
Hellas Verona,Ternana,9
Hellas Verona,Virtus Lanciano,9
Helmond Sport,KV Mechelen,9
Helmond Sport,VVV-Venlo,11
Helsingborgs IF,Landskrona,9
Helsingborgs IF,Ängelholms FF,21
Hemel,Billericay,9
Heracles Almelo,FC Emmen,9
Heracles Almelo,Go Ahead Eagles,9
Heracles Almelo,Twente FC,10
Herfölge BK,HB Köge,10
Hibernian B,Hibernian FC,10
Hibernian FC,Celtic,18
Hibernian FC,Dundee FC,12
Hibernian FC,Livingston FC,11
Hibernian FC,Partick Thistle,11
Hibernian FC,Raith Rovers,13
Hibernian FC,Rangers,10
Hibernian FC,St. Johnstone,13
Holstein Kiel,VfL Osnabrück,10
Honvéd,BFC Siófok,19
Honvéd,Diósgyőr,9
Honvéd,ETO FC Győr ,9
Honvéd,Kaposvár,9
Honvéd,Kecskeméti TE,9
Honvéd,Paksi FC,14
Honvéd,Zalaegerszeg,10
Hoogstraten VV,Zwarte Leeuw,10
Houston,RGV FC Toros,36
Houston 2,Houston Academy,10
Houston Academy,Houston 2,16
Hradec Kr. B,Chlumec n/Cidl.,11
Hradec Kralove,Bohemians 1905,10
Hradec Kralove,Viktoria Plzen,11
Hrv Dragovoljac,NK Lokomotiva,24
Hrv Dragovoljac,NK Rudes,20
Huachipato,Colo-Colo,9
Huddersfield,Bradford,12
Huddersfield,Bury,13
Huddersfield,Fleetwood,10
Huddersfield,Forest,10
Huddersfield,Oldham Athletic,9
Hull City,Derby,10
Hull City,Grimsby Town,10
Humenne,Tatran Presov,9
Huracán,Boca Juniors,11
Huracán,Lanús,10
Huracán,Racing Club,13
Huracán,River Plate,9
Hércules CF,CD Alcoyano,13
Hércules CF,Gimnàstic,10
Hércules CF B,Hércules CF,19
Hévíz SK,Zalaegerszeg,14
IC de Croix,Wasquehal,10
IFK Östersund,Östersund,15
IK Frej Täby,Hammarby,13
IK Start Youth,Start,17
Igdir FK,Corum FK,13
Illichivets,Shakhtar D.,21
Ilysiakos,AE Larisa,9
Indep. Santa Fe,Atl. Nacional,11
Independiente,Argentinos Jrs.,11
Independiente,Belgrano,9
Independiente,Defensa,13
Independiente,Huracán,9
Independiente,Newell's,9
Independiente,Olimpo,10
Independiente,River Plate,9
Independiente B,Independiente,19
Indiana Fire,Indy Eleven,10
Indios,Pachuca,12
Indy Eleven,Indiana Fire,9
Inegölspor Yth,Inegölspor,12
Instituto ACC,Argentinos Jrs.,9
Inter,AC Milan,9
Inter,AC Parma,9
Inter,AS Livorno,10
Inter,AS Roma,13
Inter,Ancona,9
Inter,Atalanta BC,12
Inter,Bologna,21
Inter,Cagliari,20
Inter,Chelsea,10
Inter,Chievo Verona,13
Inter,Cremonese,11
Inter,FC Empoli,9
Inter,Genoa,26
Inter,Lazio,10
Inter,Monza,14
Inter,Parma,18
Inter,Prato,10
Inter,Reggina,10
Inter,Sampdoria,23
Inter,Sassuolo,12
Inter,Spezia,12
Inter,Ternana,12
Inter,Torino,14
Inter,Vicenza,11
Inter B,Internacional,48
Inter Bratislava,AS Trencin,12
Inter Youth,Como Youth,16
Inter Youth,Monza Giovanili,11
Inter Youth,Novara Youth,11
Inter Youth,Renate Gio,9
Inter Youth,Sesto Giovanili,13
Inter Zapresic,Dinamo Zagreb,19
Inter Zapresic,NK Lokomotiva,16
Inter Zapresic,Slaven Belupo,11
Internacional,Atlético-GO,18
Internacional,Avaí FC,12
Internacional,Botafogo,17
Internacional,Brasil Pelotas,9
Internacional,Ceará SC,16
Internacional,Chapecoense,13
Internacional,Corinthians,9
Internacional,Coritiba FC,16
Internacional,Criciúma EC,18
Internacional,Cruzeiro,12
Internacional,EC Bahia,21
Internacional,EC Vitória,16
Internacional,Figueirense FC,14
Internacional,Fluminense,13
Internacional,Fortaleza,12
Internacional,Goiás,15
Internacional,Juventude,11
Internacional,Náutico,14
Internacional,Palmeiras,13
Internacional,Paraná,15
Internacional,Ponte Preta,11
Internacional,Portuguesa,12
Internacional,Santos,14
Internacional,Sport Recife,28
Internacional,São Paulo,10
Internacional,Vasco da Gama,21
Inverness CT,Aberdeen FC,9
Inverness CT,Brora Rangers,11
Inverness CT,Clachnacuddin,11
Inverness CT,Elgin City,13
Inverness CT,Livingston FC,9
Inverness CT,Ross County,14
Ipatinga FC,Cruzeiro,28
Ipswich,Charlton,11
Ipswich,Crystal Palace,10
Ipswich,Leicester,10
Ipswich,Millwall,10
Ipswich,Portsmouth,9
Iraklis,AE Larisa,10
Irapuato,Celaya,10
Irapuato,Tiburones Rojos,11
Iraty,Londrina-PR,17
Ischia,Casertana,9
Istanbulspor,Adanaspor,12
Istanbulspor,Eyüpspor,11
Istanbulspor,Galatasaray,9
Istres FC B,FC Istres,15
Ituano,Desp. Brasil,15
Ituano,Fortaleza,9
Ituano,Palmeiras,11
Ituano,Paraná,17
Ituano,Ponte Preta,11
Ituano,São Paulo,9
Ituano,Tombense,9
JK Viljandi,FC Flora,9
Jablonec,Slavia Prague,13
Jablonec,Sparta Prague,10
Jablonec 97,Sparta Prague,17
Jablonec B,Varnsdorf,12
Jacuipense-BA,EC Vitória,11
Jagiellonia,Korona Kielce,14
Jagiellonia,Raków,9
Jagiellonia,Wigry Suwalki,20
Jaguares,Atlante,9
Jaguares,León,9
Jaguares,Monarcas Morelia,13
Jaguares,Puebla FC,11
Jarota Jarocin,Warta Poznan,13
Jeonbuk Hyundai,Sangju Sangmu,12
Jeonbuk Hyundai,Suwon FC,15
Jihlava,Mlada Boleslav,9
Jihlava,Slavia Prague,9
Jihlava B,Jihlava,11
Joinville EC B,Joinville-SC,9
Joinville-SC,EC Vitória,9
Joinville-SC,Paraná,13
Joinville-SC,Paysandu,10
Joinville-SC,Tombense,9
Jong Genk,KRC Genk,12
Jong KAA Gent,KAA Gent,10
Jong KVM,KV Mechelen,14
Juniors OÖ,LASK,21
Juve Next Gen,Juventus,10
Juve Stabia ,Atalanta BC,10
Juventude,Brasil Pelotas,9
Juventude,Coritiba FC,10
Juventude,Criciúma EC,10
Juventude,Figueirense FC,10
Juventude,Fluminense,9
Juventude,Grêmio,23
Juventude,Guarani,9
Juventude,Internacional,14
Juventude,Mirassol-SP,9
Juventude,Palmeiras,14
Juventude,São Caetano,9
Juventude,Tombense,12
Juventude B,Juventude,24
Juventus,AC Siena,18
Juventus,Ascoli,9
Juventus,Atalanta BC,15
Juventus,Bari,10
Juventus,Bologna,21
Juventus,Cagliari,15
Juventus,Carrarese,10
Juventus,Cesena,10
Juventus,FC Crotone,11
Juventus,FC Empoli,18
Juventus,Fiorentina,18
Juventus,Genoa,28
Juventus,Hellas Verona,15
Juventus,Lazio,11
Juventus,Perugia,16
Juventus,Pescara,18
Juventus,Pro Vercelli,9
Juventus,Sampdoria,22
Juventus,Sassuolo,14
Juventus,Vicenza,11
Juventus Youth,Pro Vercelli Yo,12
Júbilo Iwata,Shonan Bellmare,9
K. Erciyesspor,C. Rizespor,10
K. Offenbach,FSV Frankfurt,10
K.misleny Yth.,Pécsi MFC Yth.,24
KAA Gent,Cercle Brugge,9
KAA Gent,KV Kortrijk,14
KAA Gent,KV Mechelen,9
KAA Gent,Standard Liège,11
KAA Gent,Waasland-Beveren,11
KAA Gent,Zulte Waregem,17
KKS Kalisz,Arka Gdynia,12
KRC Genk,Heusden-Zolder,9
KRC Genk Youth,Jong Genk,9
KS Samara,Anzhi,9
KS Samara,FK Sochi,9
KS Samara,Rubin Kazan,10
KS Samara,Spartak Moscow,22
KSZO Ostrowiec,Klimontowianka ,9
KV Kortrijk,KAA Gent,23
KV Kortrijk,RSC Anderlecht,10
KV Kortrijk,Zulte Waregem,9
KV Mechelen,Helmond Sport,10
KV Mechelen,KAA Gent,10
KV Mechelen,KVC Westerlo,10
KV Mechelen,Royal Antwerp,14
KV Mechelen,Standard Liège,10
KV Turnhout,Lierse SK,10
KVC Westerlo,KFC Houtvenne,9
KVC Westerlo,RSC Anderlecht,9
Kahramanmaras,Fethiyespor,11
Kalmar FF,J-Södra IF,9
Kalmar FF,Oskarshamns AIK,10
Kansas Academy,Swope Park,26
Kansas City,Swope Park,34
Karabükspor Yth,Karabükspor,9
Karagümrük,Fenerbahce,12
Kardemir Karabük,Ankara Demir,9
Kardemir Karabük,Iskenderun DC,12
Karlsruher SC,Erzgebirge Aue,10
Karlsruher SC,SC Freiburg,9
Karpaty Lviv,Shakhtar D.,16
Karpaty-2,Karpaty Lviv,14
Karsiyaka,Elazigspor ,10
Karsiyaka,Kardemir Karabük,10
Karsiyaka Yth,Karsiyaka,19
Karvina,Banik Ostrava,13
Karvina,Slavia Prague,9
Kashima Antlers,Cerezo Osaka,9
Kashima Antlers,Monte. Yamagata,13
Kashima Antlers,Shonan Bellmare,11
Kashima Antlers,Tokyo Verdy,9
Kashima Antlers,Vegalta Sendai,13
Kashiwa Reysol,Albirex Niigata,11
Kashiwa Reysol,Monte. Yamagata,11
Kashiwa Reysol,Shonan Bellmare,9
Kawasaki Front.,Monte. Yamagata,9
Kayserispor,Fenerbahce,9
Kayserispor,Galatasaray,11
Kayserispor,Genclerbirligi,9
Kayserispor,K. Erciyesspor,14
Kayserispor,Konyaspor,12
Kayserispor,Trabzonspor,13
Kazincbarcika,Diósgyőr,12
Kazincbarcika,FC Tiszaújváros	,12
Kazincbarcika,Mezőkövesd,10
Kazincbarcika,Putnok,12
Keciörengücü,Bugsas Spor,20
Kecskeméti TE,Debrecen,10
Kecskeméti TE,Vasas SC,9
Keflavík Yth.,Keflavík,9
Keskinspor,Altay SK,10
Kettering,Northampton,11
Khimki,Baltika,10
Khimki,Spartak Moscow,9
Khimki,Tom Tomsk,10
Khimki,Torpedo Moskau,10
Kilmarnock FC,Dunfermline A.,9
Kilmarnock FC,Queen o. t. S.,15
Kilmarnock FC,St. Mirren,12
Kocaelispor,Körfez FK,11
Konyaspor,A. Selcukspor,14
Konyaspor,Ankaragücü,12
Konyaspor,C. Rizespor,9
Konyaspor,Denizlispor,10
Konyaspor,Giresunspor,9
Konyaspor,Samsunspor,9
Koprivnica,Slaven Belupo,25
Korona Kielce,Cracovia,9
Korona Kielce,Gornik Leczna,9
Korona Kielce,LKS Lodz,9
Korona Kielce,Widzew Lodz,11
Kosice,Slavoj Trebisov,9
Kosice,Tatran Presov,9
Kozármisleny ,Pécsi MFC,39
Krasnodar,Arsenal Tula,9
Krasnodar 2,Krasnodar,24
Kristiansund,Molde FK,9
Kryvbas,Dnipro,46
Kryvbas,Dynamo Kyiv,10
Kryvbas,Karpaty Lviv,9
Kryvbas,Metalurg Z.,9
Kryvbas,Naftovyk,11
Kryvbas,Zorya Lugansk,10
Kuban Krasnodar,Anzhi,11
L'Aquila,Giulianova,11
L'Aquila,Pescara,12
LAFC,LV Lights,19
LAFC,Phoenix Rising,12
LAFC 2,LAFC,9
LAFC Academy,LAFC 2,12
LAFC Academy,LV Lights,12
LASK,Admira Wacker,10
LASK,Amateure OÖ,12
LASK,Austria Vienna,10
LASK,Blau Weiss Linz,9
LASK,Juniors OÖ,15
LASK,SV Ried,11
LB Châteauroux,FC Metz,10
LKS Lodz,Górnik Zabrze,10
LKS Lodz,Piotrcovia Piotrków Trybunalski,11
LKS Lodz,Tur Turek,10
LOSC Lille,Mouscron,16
LOSC Lille B,LOSC Lille,56
LOSC Lille B,Mouscron,20
LV Lights,LAFC,21
LV Lights,LAFC Academy,11
La Duchère B,Lyon La Duchère,13
La Piedad,Alacranes,9
Lagartos,Delfines,10
Landskrona,Malmö FF,12
Lanús,Arsenal Sarandí,16
Lanús,Atlanta,13
Lanús,Defensa,11
Lanús,Godoy Cruz,10
Lanús,Huracán,12
Lanús,Rosario Central,11
Latina Calcio,Parma,10
Lausanne-Sport,BSC Young Boys,10
Lausanne-Sport,ES Malley,10
Lausanne-Sport,Grasshoppers,10
Lausanne-Sport,Le Mont LS,15
Lausanne-Sport,Neuchâtel Xamax,10
Lausanne-Sport,OGC Nice,12
Lausanne-Sport,Servette FC,9
Lausanne-Sport,Stade Nyonnais,17
Lausanne-Sport,StadeLO,11
Lausanne-Sport,Yverdon Sport,15
Lazio,Atalanta BC,10
Lazio,Fiorentina,9
Lazio,Genoa,13
Lazio,Inter,19
Lazio,Juventus,13
Lazio,Salernitana,42
Lazio Youth,AS Rom Youth,12
Le Havre B,Le Havre AC,79
Le Mans FC B,Le Mans FC,34
Le Mont LS,Azzurri LS,9
Le Mont LS,Yverdon Sport,14
Lecce,AC Milan,12
Lecce,AS Roma,12
Lecce,Atalanta BC,9
Lecce,Catanzaro,10
Lecce,Fiorentina,10
Lecce,Paganese,10
Lecce,Parma,13
Lecce,Salernitana,9
Lecce,Sampdoria,10
Lecco,Atalanta BC,13
Lech Poznan,Arka Gdynia,9
Lech Poznan,GKS Katowice,9
Lech Poznan,Korona Kielce,9
Lech Poznan,Warta Poznan,17
Lech Poznan,Widzew Lodz,12
Lechia Gdansk,Jagiellonia,9
Leeds,Blackburn,10
Leeds,Hull City,9
Leeds,Millwall,10
Leeds,Stoke City,10
Leeds,Sunderland,12
Leeds,Swindon Town,9
Leeds,Tottenham,13
Legia Warszawa,Arka Gdynia,13
