from_team_name,to_team_name,weight,transfer_fee
BFC Siófok,Vasas FC,12,0
BFC Siófok,Videoton FC,10,0
BK Olympic,Malmö FF,11,0
BSC Young Boys,FC Aarau,15,150000
BSC Young Boys,FC Biel-Bienne,11,0
BSC Young Boys,FC Luzern,12,500000
BSC Young Boys,FC Thun,18,0
BSC Young Boys,FC Vaduz,11,300000
BSC Young Boys,FC Winterthur,12,100000
BSC Young Boys,Grasshoppers,10,1850000
BSC Young Boys,Lausanne-Sport,11,0
BSC Young Boys,Neuchâtel Xamax,12,0
BSC Young Boys,Servette FC,11,0
Bahia B,EC Bahia,36,0
Balikesir Yth,Balikesirspor,12,0
Baltika,Rostov,10,85000
Bandirmaspor,Sariyer,10,0
Banfield,Boca Juniors,10,14850000
Banfield,Independiente,10,4880000
Banfield,River Plate,12,5590000
Bangu-RJ,Bonsucesso-RJ,9,0
Bangu-RJ,Vasco da Gama,9,0
Banik Ostrava,Fotbal Trinec,12,0
Banik Ostrava,Frydek-Mistek,9,0
Banik Ostrava,Karvina,18,0
Banik Ostrava,Mlada Boleslav,9,0
Banik Ostrava,Slavia Prague,18,3860000
Banik Ostrava,Viktoria Plzen,12,1050000
Banik Ostrava,Vitkovice,11,0
Banik Ostrava B,Banik Ostrava,29,0
Banik Ostrava B,Frydek-Mistek,21,0
Banik Ostrava B,Hlucin,18,0
Banik Ostrava B,Vitkovice,18,0
Banik Sokolov,Viktoria Plzen,12,0
Banska Bystrica,Dunajska Streda,11,0
Banska Bystrica,MSK Zilina,9,0
Banska Bystrica,Podbrezova,12,0
Barakaldo CF ,Bilbao Athletic,16,0
Barakaldo CF ,SD Amorebieta,11,0
Barakaldo CF ,SD Eibar,11,0
Barcelona,Atlético Madrid,10,38100000
Barcelona,Real Betis,14,29200000
Barcelona,Sevilla FC,10,17750000
Barcelona B,Barcelona,60,0
Barcelona B,CE Sabadell ,9,0
Barcelona C,Barcelona B,79,0
Bardejov,Tatran Presov,13,0
Bari,AS Roma,15,1000000
Bari,Andria,12,0
Bari,Ascoli,12,0
Bari,Atalanta BC,11,7000000
Bari,Benevento,11,0
Bari,Chievo Verona,15,1680000
Bari,Foggia,10,250000
Bari,Genoa,15,1790000
Bari,Hellas Verona,12,800000
Bari,Juventus,13,33250000
Bari,Lazio,9,250000
Bari,Napoli,20,5200000
Bari,Parma,10,1000000
Bari,Pescara,9,0
Bari,Salernitana,12,185500
Bari,Sampdoria,9,900000
Bari,Torino,12,4800000
Bari,Vicenza,10,0
Barletta,Manfredonia,9,0
Barnsley,Bradford,12,0
